CASRN	ke1_call	ke1_mean_c_l_dep	ke1_c_dep	ke1_l_dep	ke2_call	ke2_val	ke3_call	ke3_val	insil_call	insil_ad
137-26-8	1	50	100	0	1	6.7503	1	0.1	0	Out
94-36-0	1	92.49964147	100	84.99928295	0	1.36	1	26.7	1	In
112-07-2	0	0.45	0.5	0.4	0	1.17557	0	999	0	In
18479-58-8	NA	NA	NA	NA	0	1.06	0	999	0	Out
121-33-5	0	1.719243719	3.202798	0.23568913	0	1.4	1	49.9	1	In
2498-95-5	NA	NA	NA	NA	0	0.81	NA		1	In
75-35-4	0	0.005110157	0	0.01022031	0	1.032467	0	999	0	In
89-71-4	NA	NA	NA	NA	NA	NA	0	999	1	Out
2835-95-2	0	3.55	6.3	0.8	1	3.246379	1	7.79	1	In
100-11-8	1	77.97492201	98.291267	57.65857691	1	6.850668	1	0.4	1	In
