Sort,Curated.name,CASRN,EC,SMILES,ke1_call,ke1_mean_c_l_dep,ke1_c_dep,ke1_l_dep,ke2_call,ke2_val,ke3_call,ke3_val,insil_call,insil_ad,DA_ITS_Call_Key,DA_ITS_Pot_Key,DA_2o3_Call_Key
1,Abietic acid,514-10-3,208-178-3,CC(C)C1CC[C@H]2C(=CC[C@@H]3[C@]2(C)CCC[C@@]3(C)C(O)=O)C=1,1,65.35,97.6,33.1,1,11.42,1,36.2,1,In,1,1B,1
2,Acetanisole,100-06-1,202-815-9,COc1ccc(cc1)C(C)=O,0,0.286475374,0.572950749,0,1,4.875939981,0,100.63,0,Out,0,NC,0
3,2-Acetylcyclohexanone,874-23-7,212-858-5,CC(=O)C1CCCCC1=O,,,,,1,26.9,1,97.93,1,In,1,1B,1
4,4-Allylanisole,140-67-0,205-427-8,COc1ccc(CC=C)cc1,1,26.26793903,41.38529284,11.15058522,0,1.25518708,1,97.82,1,In,1,1B,1
5,Allyl phenoxyacetate,7493-74-5,231-335-2,C=CCOC(=O)COc1ccccc1,1,9.15,13.6,4.7,1,1.85,0,>200,1,In,1,1B,0
6,4-Aminobenzoic acid,150-13-0,205-753-0,Nc1ccc(cc1)C(O)=O,0,0.4,0.7,0,0,1.21,0,>200,0,In,0,NC,0
7,4-Amino-m-cresol,2835-99-6,220-621-2,Cc1cc(O)ccc1N,1,63.55,99.9,27.2,1,7.608534599,1,1.75,1,In,1,1A,1
8,5-Amino-o-cresol,2835-95-2,220-618-6,Cc1ccc(N)cc1O,0,3.55,6.3,0.8,1,3.246379201,1,7.79,1,In,1,1B,1
9,2-Aminophenol,95-55-6,202-431-1,Nc1ccccc1O,1,73.49140436,100,46.98280873,1,13.53,1,<0.1,1,In,1,1A,1
10,3-Aminophenol,591-27-5,209-711-2,Nc1cccc(O)c1,1,7.592540221,15.18508044,0,0,1.406772001,1,13.94,1,In,1,1B,0
11,alpha-Amylcinnamaldehyde,122-40-7,204-541-5,CCCCCC(C=O)=Cc1ccccc1,0,1.312089631,0.085116761,2.5390625,1,1.57,1,13.1,1,In,1,1B,1
12,alpha-Amylcinnamic alcohol,101-85-9,202-982-8,CCCCCC(CO)=Cc1ccccc1,1,10.9,17.5,4.3,0,0.98,1,14.8,1,In,1,1B,0
13,Anethole,104-46-1,203-205-5,COc1ccc(C=CC)cc1,0,1.85,3.1,0.6,0,1.1,0,>200,1,In,1,1B,0
14,Aniline,62-53-3,200-539-3,Nc1ccccc1,0,0.399997083,0.799994166,0,0,1.38,1,62.5,0,Out,0,NC,0
15,Anisyl alcohol,105-13-5,203-273-6,COc1ccccc1CO,1,26.05,1,51.1,0,1.23,0,>200,0,Out,1,1B,0
16,2-(p-Anisyl)propanal,6/6/5462,226-749-5,COc1ccc(CC(C)C=O)cc1,1,26.9,48.7,5.1,1,18.38,1,5.49,1,In,1,1B,1
17,Applelide,478695-70-4,639-080-2,CCOC(=O)CC(=O)OC(C)C1CCCC(C)(C)C1,,,,,0,1.04,1,38.89,0,In,1,1B,0
18,BADGE,1675-54-3,216-823-5,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,1,12.36147114,20.72837724,3.994565036,1,12.6,1,9.9,1,In,1,1B,1
19,Bandrowski’s base,20048-27-5,na,Nc1ccc(cc1)N=C1C=C(N)C(C=C1N)=Nc1ccc(N)cc1,1,50,100,0,1,3.058765368,1,0.88,1,In,1,1A,1
20,Benzaldehyde,100-52-7,202-860-4,O=Cc1ccccc1,,,,,1,2.28,1,84.9,0,Out,0,NC,1
21,"1,2-Benzisothiazol-3(2H)-one",2634-33-5,220-120-9,O=C1NSc2ccccc12,1,50,100,0,1,23.96,1,0.4,1,In,1,1A,1
22,Benzocaine,94-09-7,202-303-5,CCOC(=O)c1ccc(N)cc1,,,,,1,2.97,0,103.4,0,In,1,1B,1
23,Benzoic acid,65-85-0,200-618-2,OC(=O)c1ccccc1,,,,,0,1.12,0,>200,0,In,0,NC,0
24,p-Benzoquinone,106-51-4,203-405-2,O=C1C=CC(=O)C=C1,1,94.85443036,98.56314282,91.1457179,1,15.19737454,1,2.44,1,In,1,1A,1
25,Benzyl alcohol,100-51-6,202-859-9,OCc1ccccc1,0,0.170159804,0.340319609,0,0,1.23,0,>200,1,In,1,1B,0
26,Benzyl benzoate,120-51-4,204-402-9,O=C(OCc1ccccc1)c1ccccc1,0,1.764611353,0,3.529222706,1,5.75,0,>200,1,In,0,NC,0
27,Benzyl bromide,100-39-0,202-847-3,BrCc1ccccc1,1,58.43673741,94.44889165,22.42458317,1,4.575,1,8.16,1,In,1,1A,1
28,Benzyl butyl phthalate,85-68-7,201-622-7,CCCCOC(=O)c1ccccc1C(=O)OCc1ccccc1,1,24.91147597,49.82295193,0,1,2.992304791,1,86.17,0,In,1,1B,0
29,Benzyl cinnamate,103-41-3,203-109-3,O=C(OCc1ccccc1)C=Cc1ccccc1,0,0,0,0,1,8.66,0,176.6,1,In,0,NC,0
30,Benzyl salicylate,118-58-1,204-262-9,Oc1ccccc1C(=O)OCc1ccccc1,0,0,0,0,1,5.51,1,66.2,1,In,0,NC,0
31,Benzylidene acetone,122-57-6,204-555-1,CC(=O)C=Cc1ccccc1,1,22.32788513,44.65577026,0,1,503.8731831,1,3.01,1,In,1,1B,1
32,BGE,8/6/2426,219-376-4,CCCCOCC1CO1,1,10.51236377,16.88538489,4.139342659,1,107.1,0,148.9,1,In,1,1B,1
33,Bis-GMA,1565-94-2,216-367-7,CC(=C)C(=O)OCC(O)COc1ccc(cc1)C(C)(C)c1ccc(OCC(O)COC(=O)C(C)=C)cc1,1,29.3539336,58.70786721,0,1,3.112996077,1,5.31,1,In,1,1B,1
34,Bourgeonal,18127-01-0,242-016-2,CC(C)(C)c1ccc(CCC=O)cc1,1,20.25,36.2,4.3,0,0.74,1,10.33,1,In,1,1B,1
35,1-Bromobutane,109-65-9,203-691-9,CCCCBr,,,,,0,,0,>200,0,In,0,NC,1
36,1-Bromohexane,111-25-1,203-850-2,CCCCCCBr,1,5.966313296,11.93262659,0,1,2,0,>200,0,In,0,NC,1
37,Bromothalonil,35691-65-7,252-681-0,BrCC(Br)(CCC#N)C#N,1,55.18013166,99.96026332,10.4,1,4.03,1,3,1,In,1,1A,1
38,Butan-1-ol,71-36-3,200-751-6,CCCCO,0,0.387623055,0.066941049,0.708305062,0,1.15,0,>200,0,Out,0,NC,0
39,2-Butoxyethyl acetate,112-07-2,203-933-3,CCCCOCCOC(C)=O,0,0.45,0.5,0.4,0,1.175570108,0,>200,0,In,0,NC,0
40,Butyl acrylate,141-32-2,205-480-7,CCCCOC(=O)C=C,1,39.17204972,72.62151578,5.722583659,1,6.897523175,1,6.03,1,In,1,1B,1
41,L-Carvone,6485-40-1,229-352-5,CC(=C)[C@@H]1CC=C(C)C(=O)C1,1,10.78259019,20.24820186,1.316978524,1,54,1,19.4,1,In,1,1B,1
42,CD-3,25646-71-3,247-161-5,OS(O)(=O)=O.OS(O)(=O)=O.OS(O)(=O)=O.CCN(CCNS(C)(=O)=O)c1ccc(N)c(C)c1.CCN(CCNS(C)(=O)=O)c1ccc(N)c(C)c1,1,50.7060843,99.74738472,1.664783875,1,115.7766787,1,1.07,1,In,1,1A,1
43,Chloramine-T,127-65-1,204-854-7,[Na+].Cc1ccc(cc1)S(=O)(=O)[N-]Cl,1,99.1,100,98.2,1,50.23378918,1,41.86,1,In,1,1B,1
44,3-Chloro-p-anisaldehyde,9/7/4903,225-532-2,COc1ccc(C=O)cc1Cl,1,18.7,32.6,4.8,0,1.348872715,1,31.23,1,In,1,1B,0
45,Chlorobenzene,108-90-7,203-628-5,Clc1ccccc1,,,,,0,1.5,0,>200,1,In,1,1B,0
46,Chlorothalonil,1897-45-6,217-588-1,Clc1c(Cl)c(C#N)c(Cl)c(C#N)c1Cl,1,48.22130712,95.63213158,0.810482673,1,6.677211476,,,1,In,1,1A,1
47,Chlorpromazine,50-53-3,200-045-8,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc12,1,24.55,48.2,0.9,0,1.07,1,5.7,1,In,1,1A,0
48,Cinnamaldehyde,104-55-2,203-213-9,O=CC=Cc1ccccc1,1,65.11964039,37.45801133,92.78126945,1,16.24,1,1,1,In,1,1A,1
49,Cinnamic alcohol,104-54-1,203-212-3,OCC=Cc1ccccc1,0,0,0,0,1,1.75,1,21.4,1,In,1,1B,1
50,Cinnamonitrile,1885-38-7,217-552-5,N#CC=Cc1ccccc1,,,,,1,1.85,1,99.47,1,In,1,1B,1
