CASRN	Curated.name	DTXSID	Original SMILES	Original InChIKey	QSAR Ready SMILES	LLNA Binary hazard reference classification	LLNA Potency reference subcategorization	Reference
514-10-3	Abietic acid	DTXSID7022047	CC(C)C1=CC2=CC[C@@H]3[C@](C)(CCC[C@@]3(C)C(O)=O)[C@H]2CC1	InChI=1S/C20H30O2/c1-13(2)14-6-8-16-15(12-14)7-9-17-19(16,3)10-5-11-20(17,4)18(21)22/h7,12-13,16-17H,5-6,8-11H2,1-4H3,(H,21,22)/t16-,17+,19+,20+/m0/s1	CC(C)C1=CC2=CCC3C(C)(CCCC3(C)C(O)=O)C2CC1	1	1B	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
100-06-1	Acetanisole	DTXSID2044347	COC1=CC=C(C=C1)C(C)=O	InChI=1S/C9H10O2/c1-7(10)8-3-5-9(11-2)6-4-8/h3-6H,1-2H3	COC1=CC=C(C=C1)C(C)=O	0	NC	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
140-67-0	4-Allylanisole	DTXSID0020575	COC1=CC=C(CC=C)C=C1	InChI=1S/C10H12O/c1-3-4-9-5-7-10(11-2)8-6-9/h3,5-8H,1,4H2,2H3	COC1=CC=C(CC=C)C=C1	1	1B	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
7493-74-5	Allyl phenoxyacetate	DTXSID3064722	C=CCOC(=O)COC1=CC=CC=C1	InChI=1S/C11H12O3/c1-2-8-13-11(12)9-14-10-6-4-3-5-7-10/h2-7H,1,8-9H2	C=CCOC(=O)COC1=CC=CC=C1	1	1B	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
2835-99-6	4-Amino-m-cresol	DTXSID2049262	CC1=CC(O)=CC=C1N	InChI=1S/C7H9NO/c1-5-4-6(9)2-3-7(5)8/h2-4,9H,8H2,1H3	CC1=CC(O)=CC=C1N	1	1A	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
2835-95-2	5-Amino-o-cresol	DTXSID9024489	CC1=C(O)C=C(N)C=C1	InChI=1S/C7H9NO/c1-5-2-3-6(8)4-7(5)9/h2-4,9H,8H2,1H3	CC1=C(O)C=C(N)C=C1	1	1B	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
95-55-6	2-Aminophenol	DTXSID8024498	NC1=C(O)C=CC=C1	InChI=1S/C6H7NO/c7-5-3-1-2-4-6(5)8/h1-4,8H,7H2	NC1=C(O)C=CC=C1	1	1A	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
591-27-5	3-Aminophenol	DTXSID3024497	NC1=CC(O)=CC=C1	InChI=1S/C6H7NO/c7-5-2-1-3-6(8)4-5/h1-4,8H,7H2	NC1=CC(O)=CC=C1	1	1B	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
122-40-7	alpha-Amylcinnamaldehyde	DTXSID8029157	CCCCCC(C=O)=CC1=CC=CC=C1	InChI=1S/C14H18O/c1-2-3-5-10-14(12-15)11-13-8-6-4-7-9-13/h4,6-9,11-12H,2-3,5,10H2,1H3	CCCCCC(C=O)=CC1=CC=CC=C1	1	1B	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
101-85-9	alpha-Amylcinnamic alcohol	DTXSID2049393	CCCCCC(CO)=CC1=CC=CC=C1	InChI=1S/C14H20O/c1-2-3-5-10-14(12-15)11-13-8-6-4-7-9-13/h4,6-9,11,15H,2-3,5,10,12H2,1H3	CCCCCC(CO)=CC1=CC=CC=C1	1	1B	OECD (2021). Series on Testing and Assessment No. 336: Supporting document to the Guideline (GL) on Defined Approaches (DAs) for Skin Sensitisation. Organisation for Economic Cooperation and Development, Paris
